epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5368,1.09729,0.7221,0.00899,0.00032,0.9516,0.9878,0.99222,0.68755,1.08597,0.54999,0.009,0.0002,0.00032,0.00032,0.00032
2,32.2294,1.11794,0.6647,0.00928,0.00075,0.96281,0.9878,0.99275,0.71545,1.07482,0.53774,0.00913,0.00058,0.000657386,0.000657386,0.000657386
3,47.757,1.07844,0.69782,0.00929,0.00049,0.97346,0.9878,0.99307,0.6908,1.11789,0.52943,0.0092,8e-05,0.00099208,0.00099208,0.00099208
4,63.0465,1.10649,0.70913,0.01001,0.00038,0.95336,0.99718,0.99179,0.69914,1.09208,0.5244,0.00913,9e-05,0.00132408,0.00132408,0.00132408
5,78.0884,1.07398,0.69125,0.00941,0.00065,0.95331,0.99611,0.99038,0.6965,1.09773,0.53203,0.00922,0.00034,0.00165339,0.00165339,0.00165339
6,93.4062,1.15827,0.67946,0.01083,0.00056,0.98778,0.98586,0.99247,0.66872,1.12592,0.50181,0.00921,0.00023,0.0019604,0.0019604,0.0019604
7,108.733,1.15437,0.71319,0.00998,0.00048,0.9719,1,0.99329,0.6963,1.10391,0.47987,0.00919,9e-05,0.00195248,0.00195248,0.00195248
8,124.363,1.08075,0.63564,0.00966,0.00025,0.98793,0.99779,0.99392,0.67702,1.1568,0.47283,0.00921,9e-05,0.00194456,0.00194456,0.00194456
9,139.661,1.10472,0.62373,0.00967,0.00041,0.97603,0.99319,0.99341,0.65399,1.23699,0.49317,0.0094,0.00042,0.00193664,0.00193664,0.00193664
10,154.822,1.05163,0.60654,0.0099,0.00077,0.95314,0.99234,0.99318,0.66756,1.18226,0.4695,0.00915,0.00049,0.00192872,0.00192872,0.00192872
11,170.25,1.02131,0.60776,0.00962,0.00078,0.96026,1,0.99307,0.63226,1.25694,0.4721,0.00969,0.00026,0.0019208,0.0019208,0.0019208
12,185.67,1.06972,0.58941,0.00934,0.00055,0.97614,0.99768,0.99304,0.65371,1.15883,0.44076,0.00948,0.00023,0.00191288,0.00191288,0.00191288
13,201.062,1.10167,0.58812,0.01028,0.0009,0.97588,1,0.99357,0.70333,1.06337,0.41275,0.009,0.0006,0.00190496,0.00190496,0.00190496
14,216.358,1.21567,0.63407,0.01081,0.0016,0.97068,1,0.99304,0.69602,1.0661,0.4104,0.009,0.0009,0.00189704,0.00189704,0.00189704
15,231.529,1.19062,0.63769,0.01083,0.00143,0.9878,0.98727,0.99283,0.64026,1.21603,0.43588,0.00966,0.00067,0.00188912,0.00188912,0.00188912
16,246.914,1.15804,0.65948,0.0095,0.00075,0.98448,1,0.99283,0.64462,1.23425,0.42859,0.0096,0.00038,0.0018812,0.0018812,0.0018812
17,262.645,1.04297,0.55411,0.00939,0.00042,0.96323,1,0.99343,0.69378,1.064,0.39437,0.00877,0.00019,0.00187328,0.00187328,0.00187328
18,277.97,1.05447,0.53976,0.00949,0.00023,0.96463,0.99772,0.99293,0.71497,0.99805,0.38338,0.00863,0.00018,0.00186536,0.00186536,0.00186536
19,293.365,1.07352,0.58187,0.00997,0.00028,0.97961,1,0.99428,0.714,0.99237,0.35531,0.00868,0.00026,0.00185744,0.00185744,0.00185744
20,309.047,1.10132,0.53327,0.0097,0.00039,0.97318,1,0.99354,0.65515,1.18696,0.39038,0.0094,0.00045,0.00184952,0.00184952,0.00184952
21,325.258,1.14202,0.56439,0.01092,0.00044,0.97279,1,0.99329,0.65735,1.18905,0.39056,0.0095,0.00054,0.0018416,0.0018416,0.0018416
22,342.045,1.10994,0.55015,0.00967,0.00018,0.98794,0.99878,0.99416,0.70243,1.03731,0.35696,0.00909,0.0001,0.00183368,0.00183368,0.00183368
23,360.034,1.18778,0.58756,0.01056,0.00032,0.98704,1,0.99428,0.69784,1.05279,0.36524,0.00901,0.00014,0.00182576,0.00182576,0.00182576
24,376.812,1.20373,0.55555,0.00983,0.00108,0.97605,0.9941,0.9928,0.69377,1.06793,0.39213,0.00894,0.00037,0.00181784,0.00181784,0.00181784
25,392.326,1.02254,0.54025,0.00938,0.0012,0.97576,1,0.99303,0.68661,1.10195,0.3828,0.00888,0.00031,0.00180992,0.00180992,0.00180992
26,409.94,1.07422,0.55693,0.00984,0.00078,0.97273,1,0.99246,0.70505,1.04588,0.35554,0.00864,0.00013,0.001802,0.001802,0.001802
27,429.105,1.10045,0.56942,0.01043,0.00042,0.97609,0.99566,0.99296,0.71399,1.00913,0.33901,0.00854,0.00036,0.00179408,0.00179408,0.00179408
28,448.44,0.94784,0.43046,0.00988,0.00062,0.97613,0.99745,0.9928,0.7115,1.02015,0.34699,0.00883,0.00066,0.00178616,0.00178616,0.00178616
29,468.548,0.98976,0.47083,0.00953,0.00075,0.97602,0.99266,0.99303,0.69058,1.0809,0.37012,0.00925,0.00063,0.00177824,0.00177824,0.00177824
30,486.446,1.03417,0.5391,0.01015,0.00046,0.97619,0.99998,0.99316,0.67427,1.12265,0.36365,0.00962,0.00022,0.00177032,0.00177032,0.00177032
31,503.71,1.0446,0.51701,0.01034,0.00047,0.9633,1,0.99306,0.6947,1.06966,0.34972,0.00948,0.00012,0.0017624,0.0017624,0.0017624
32,521.421,1.01266,0.51192,0.0094,0.00056,0.97089,1,0.99354,0.70392,1.03074,0.34099,0.00924,0.00023,0.00175448,0.00175448,0.00175448
33,538.901,1.02276,0.4789,0.00947,0.00068,0.97601,0.99241,0.9931,0.69655,1.0437,0.34843,0.00912,0.00038,0.00174656,0.00174656,0.00174656
34,556.506,0.97841,0.4608,0.00976,0.0004,0.97454,1,0.99354,0.68704,1.11483,0.3478,0.00917,0.00018,0.00173864,0.00173864,0.00173864
35,574.044,1.06888,0.53565,0.00845,0.00041,0.98782,0.98897,0.99404,0.69357,1.12453,0.34221,0.00925,0.00012,0.00173072,0.00173072,0.00173072
36,591.305,1.13865,0.50013,0.00946,0.0008,0.98691,0.9878,0.99342,0.68538,1.1537,0.34595,0.00941,0.00022,0.0017228,0.0017228,0.0017228
37,609.105,1.04355,0.51495,0.00943,0.00075,0.97454,1,0.99366,0.69205,1.11337,0.32835,0.00914,0.00035,0.00171488,0.00171488,0.00171488
38,626.758,0.9944,0.48734,0.00855,0.00047,0.9856,1,0.99319,0.64694,1.17036,0.3464,0.00942,0.0001,0.00170696,0.00170696,0.00170696
39,644.193,0.9832,0.42878,0.00909,0.00027,0.98655,1,0.99404,0.6888,1.06936,0.32676,0.00919,0.00012,0.00169904,0.00169904,0.00169904
40,660.672,0.95647,0.5142,0.00943,0.00036,0.9868,1,0.99392,0.69978,1.05092,0.32287,0.00914,0.00013,0.00169112,0.00169112,0.00169112
41,678.187,1.0131,0.46549,0.00983,0.00022,0.98405,1,0.99247,0.67886,1.11683,0.33761,0.00926,0.00012,0.0016832,0.0016832,0.0016832
42,694.767,0.97213,0.4824,0.01017,0.00027,0.98625,0.9878,0.99222,0.68408,1.09892,0.33657,0.00916,0.00011,0.00167528,0.00167528,0.00167528
43,711.211,0.94372,0.42814,0.00921,0.0002,0.98597,1,0.99343,0.71876,1.01607,0.30748,0.00868,0.00013,0.00166736,0.00166736,0.00166736
44,727.798,0.96836,0.51426,0.00889,0.00023,0.98778,0.98558,0.99379,0.71591,1.02331,0.30987,0.00866,0.00017,0.00165944,0.00165944,0.00165944
45,744.288,1.00497,0.46328,0.00952,0.00026,0.98792,0.99715,0.99392,0.72687,1.02684,0.30583,0.00882,0.00011,0.00165152,0.00165152,0.00165152
46,760.854,0.97969,0.4915,0.00919,0.00029,0.97062,1,0.99329,0.71653,1.03292,0.30954,0.00891,8e-05,0.0016436,0.0016436,0.0016436
47,777.296,0.93599,0.47955,0.00945,0.00057,0.97619,0.99993,0.99279,0.70267,1.05604,0.32191,0.00893,0.00023,0.00163568,0.00163568,0.00163568
48,794.114,0.94946,0.49445,0.0089,0.00091,0.9747,1,0.99202,0.68181,1.10269,0.3388,0.00921,0.0005,0.00162776,0.00162776,0.00162776
49,811.511,0.94428,0.52088,0.00974,0.00083,0.97304,1,0.99165,0.68596,1.08315,0.34203,0.00918,0.00039,0.00161984,0.00161984,0.00161984
50,829.041,0.94482,0.44796,0.00911,0.00029,0.97617,1,0.99151,0.66457,1.11731,0.33392,0.00929,0.0001,0.00161192,0.00161192,0.00161192
51,846.672,0.95829,0.44969,0.00953,0.00023,0.97512,1,0.99257,0.6768,1.08893,0.32602,0.0092,5e-05,0.001604,0.001604,0.001604
52,863.14,0.9294,0.45665,0.01014,0.00034,0.97515,1,0.99228,0.69955,1.03221,0.31373,0.00909,0.0001,0.00159608,0.00159608,0.00159608
53,879.755,0.96932,0.43966,0.00944,0.0003,0.97468,1,0.99218,0.70626,1.02826,0.30881,0.00906,0.00011,0.00158816,0.00158816,0.00158816
54,896.45,0.96086,0.51622,0.00906,0.00035,0.97565,1,0.99184,0.70288,1.04645,0.30738,0.00907,0.00014,0.00158024,0.00158024,0.00158024
55,912.959,0.91274,0.4116,0.00866,0.00045,0.98753,1,0.99355,0.71995,0.99862,0.29327,0.00883,0.00024,0.00157232,0.00157232,0.00157232
56,929.504,0.98455,0.44218,0.00909,0.00046,0.97509,1,0.99267,0.70409,1.01191,0.30513,0.00877,0.00021,0.0015644,0.0015644,0.0015644
57,945.894,0.9959,0.45142,0.00882,0.00025,0.97403,0.9878,0.99246,0.6744,1.11761,0.33228,0.00905,0.00011,0.00155648,0.00155648,0.00155648
58,962.505,0.98716,0.44634,0.00908,0.00021,0.97433,0.9878,0.99185,0.65038,1.22194,0.35837,0.00951,7e-05,0.00154856,0.00154856,0.00154856
59,980.432,1.02927,0.41862,0.00964,0.00035,0.97439,1,0.9928,0.65856,1.15343,0.33437,0.0095,0.00021,0.00154064,0.00154064,0.00154064
60,996.884,0.98173,0.47126,0.00856,0.00053,0.97342,0.97561,0.99318,0.69577,1.05833,0.3161,0.00922,0.00038,0.00153272,0.00153272,0.00153272
61,1013.48,0.96725,0.46012,0.00943,0.00069,0.95345,1,0.99283,0.6983,1.02347,0.31152,0.00911,0.00037,0.0015248,0.0015248,0.0015248
62,1030.26,0.97878,0.43503,0.00961,0.00043,0.95169,1,0.9921,0.697,1.01251,0.31866,0.00893,0.00022,0.00151688,0.00151688,0.00151688
63,1047.75,0.93307,0.44771,0.00935,0.00032,0.97587,0.98624,0.99165,0.6747,1.08946,0.33006,0.00915,0.00013,0.00150896,0.00150896,0.00150896
64,1065.39,1.01225,0.48084,0.00932,0.00027,0.97436,1,0.99081,0.67154,1.11383,0.32553,0.00922,8e-05,0.00150104,0.00150104,0.00150104
65,1081.87,0.96194,0.44483,0.00933,0.00031,0.97568,0.9784,0.99142,0.68787,1.09706,0.33408,0.00919,0.00014,0.00149312,0.00149312,0.00149312
66,1098.5,0.98017,0.47906,0.01016,0.00037,0.98638,0.9878,0.99273,0.69011,1.09313,0.33062,0.00941,0.00017,0.0014852,0.0014852,0.0014852
67,1115.9,0.92779,0.43974,0.00919,0.0003,0.98778,0.98614,0.99263,0.69359,1.08179,0.31981,0.00929,0.0001,0.00147728,0.00147728,0.00147728
68,1133.79,0.9485,0.4777,0.0094,0.00026,0.9838,0.9878,0.99307,0.69326,1.10531,0.32093,0.00933,7e-05,0.00146936,0.00146936,0.00146936
69,1150.17,0.91562,0.45698,0.01017,0.00047,0.9878,0.98743,0.99319,0.69277,1.08892,0.32404,0.00919,0.00019,0.00146144,0.00146144,0.00146144
70,1166.7,0.92854,0.47401,0.00891,0.00062,0.97146,0.9878,0.99256,0.70445,1.04049,0.31943,0.00892,0.00041,0.00145352,0.00145352,0.00145352
71,1183.27,0.8795,0.37059,0.00879,0.00053,0.97407,0.9878,0.99306,0.70977,1.03685,0.31545,0.00888,0.00025,0.0014456,0.0014456,0.0014456
72,1199.69,0.8952,0.42846,0.00884,0.0002,0.98474,0.9878,0.99333,0.69682,1.07147,0.33845,0.00906,4e-05,0.00143768,0.00143768,0.00143768
73,1216.23,0.9329,0.40083,0.0097,0.00028,0.98585,0.97561,0.99261,0.6939,1.11149,0.34616,0.00926,0.00028,0.00142976,0.00142976,0.00142976
74,1232.63,0.90525,0.46828,0.00991,0.00082,0.98778,0.98555,0.99345,0.69445,1.07625,0.34175,0.01008,0.00064,0.00142184,0.00142184,0.00142184
75,1249.24,0.84471,0.39357,0.00969,0.00111,0.98733,0.95025,0.99274,0.69421,1.08169,0.36419,0.01002,0.00049,0.00141392,0.00141392,0.00141392
76,1265.85,0.91803,0.40831,0.00924,0.00043,0.97561,0.97556,0.99281,0.67676,1.12894,0.34198,0.00944,0.00022,0.001406,0.001406,0.001406
77,1282.37,0.96663,0.48919,0.01006,0.00027,0.97598,0.99119,0.99329,0.69038,1.10815,0.32222,0.00936,0.00012,0.00139808,0.00139808,0.00139808
78,1298.73,0.83139,0.39756,0.00873,0.00019,0.98764,0.97456,0.99311,0.71034,1.05918,0.33197,0.00923,8e-05,0.00139016,0.00139016,0.00139016
79,1315.19,0.90118,0.4059,0.009,0.00016,0.97272,0.9878,0.99319,0.71099,1.06047,0.35514,0.01018,8e-05,0.00138224,0.00138224,0.00138224
80,1332.65,0.83664,0.38566,0.00914,0.00041,0.9739,1,0.99379,0.71014,1.05878,0.33266,0.0092,0.00026,0.00137432,0.00137432,0.00137432
81,1350.55,0.86793,0.36921,0.00891,0.00038,0.98793,0.99836,0.99428,0.71395,1.04491,0.29938,0.00906,0.00045,0.0013664,0.0013664,0.0013664
82,1367.94,0.91521,0.44625,0.00987,0.00044,0.97232,1,0.9944,0.70732,1.06023,0.29496,0.00909,0.00045,0.00135848,0.00135848,0.00135848
83,1385.62,0.92132,0.48815,0.00844,0.00022,0.98779,0.98642,0.99406,0.70737,1.05306,0.2963,0.00905,0.00025,0.00135056,0.00135056,0.00135056
84,1403.27,0.86394,0.37712,0.00869,0.0003,0.97612,0.99703,0.9944,0.70805,1.05789,0.29436,0.00912,9e-05,0.00134264,0.00134264,0.00134264
85,1420.5,0.90353,0.45154,0.00943,0.00049,0.97613,0.99737,0.99416,0.7043,1.07059,0.30148,0.00922,0.00012,0.00133472,0.00133472,0.00133472
86,1438.06,0.84513,0.41744,0.00935,0.00032,0.98749,0.96227,0.99368,0.68649,1.11363,0.33445,0.00954,8e-05,0.0013268,0.0013268,0.0013268
87,1455.57,0.8806,0.37328,0.00939,0.00023,0.98765,0.97497,0.99379,0.68227,1.12301,0.33493,0.00965,0.00023,0.00131888,0.00131888,0.00131888
88,1473.04,0.91123,0.45271,0.00935,0.00045,0.98318,1,0.99428,0.67375,1.1335,0.33077,0.00953,0.00045,0.00131096,0.00131096,0.00131096
89,1490.41,0.83631,0.40028,0.00889,0.00072,0.9788,0.9878,0.99391,0.67849,1.10421,0.31165,0.00932,0.00039,0.00130304,0.00130304,0.00130304
90,1507.82,0.9049,0.44557,0.00863,0.00046,0.98462,1,0.99428,0.7025,1.05956,0.29528,0.00901,9e-05,0.00129512,0.00129512,0.00129512
91,1525.32,0.87812,0.39866,0.00894,0.0002,0.98795,0.99947,0.99452,0.71033,1.06438,0.29091,0.0089,8e-05,0.0012872,0.0012872,0.0012872
92,1544.1,0.87645,0.36004,0.00925,0.00036,0.98777,0.98516,0.9944,0.70455,1.07692,0.29693,0.00896,0.00016,0.00127928,0.00127928,0.00127928
93,1561.61,0.87789,0.38129,0.00861,0.00053,0.98668,0.9878,0.99428,0.70381,1.07532,0.29644,0.00905,0.00028,0.00127136,0.00127136,0.00127136
94,1579.22,0.8267,0.3848,0.00922,0.00062,0.98708,0.9878,0.99393,0.69814,1.05424,0.29306,0.009,0.00039,0.00126344,0.00126344,0.00126344
95,1596.59,0.85469,0.40153,0.0096,0.00051,0.98567,0.9878,0.99336,0.70257,1.04928,0.29502,0.00904,0.00022,0.00125552,0.00125552,0.00125552
