epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,136.816,2.03651,5.4652,0.01221,0.39882,0.0063,0.39024,0.00602,0.00194,1.58535,4.9795,0.01469,0.17715,0.00032,0.00032,0.00032
2,245.58,1.4637,4.55155,0.01177,0.1007,0.01564,0.93902,0.04232,0.02109,1.26533,4.23631,0.01432,0.03478,0.000653466,0.000653466,0.000653466
3,354.497,1.33236,3.75642,0.01263,0.0089,0.77962,0.62195,0.76234,0.46677,1.30938,3.24393,0.01504,0.00223,0.0009802,0.0009802,0.0009802
4,456.933,1.30728,3.3893,0.01214,0.00545,0.68126,0.85366,0.8172,0.51743,1.2458,2.86718,0.01437,0.00292,0.0013002,0.0013002,0.0013002
5,558.26,1.26859,3.04407,0.0116,0.00501,0.70109,0.80094,0.80018,0.56213,1.04544,2.61832,0.01252,0.00309,0.00161347,0.00161347,0.00161347
6,654.927,1.23973,3.14795,0.01257,0.00191,0.66576,0.82593,0.7916,0.51935,1.07219,2.89516,0.01216,0.00085,0.001901,0.001901,0.001901
7,749.556,1.36258,2.58775,0.01087,0.00163,0.65258,0.80178,0.79701,0.54766,1.04492,2.88704,0.01189,0.00063,0.0018812,0.0018812,0.0018812
8,850.93,1.27065,2.42214,0.01205,0.00164,0.60754,0.80488,0.79181,0.52413,1.19784,2.75124,0.0099,0.00162,0.0018614,0.0018614,0.0018614
9,948.939,1.39474,2.32355,0.01118,0.00199,0.67811,0.84783,0.83371,0.55928,1.1546,2.49825,0.00956,0.00152,0.0018416,0.0018416,0.0018416
10,1047.67,1.24625,2.46749,0.01154,0.0019,0.78235,0.85366,0.87941,0.5745,1.10204,2.4849,0.01141,0.00062,0.0018218,0.0018218,0.0018218
11,1146.72,1.21536,2.38077,0.01038,0.0009,0.85127,0.83761,0.91308,0.6001,1.12303,2.41192,0.01103,0.00076,0.001802,0.001802,0.001802
12,1246.94,1.23117,2.14422,0.00958,0.00165,0.83293,0.86585,0.9336,0.64001,1.09949,2.17205,0.00873,0.00141,0.0017822,0.0017822,0.0017822
13,1343.69,1.19923,1.93047,0.01015,0.00194,0.87576,0.86585,0.94378,0.63933,1.1029,2.03049,0.00912,0.00061,0.0017624,0.0017624,0.0017624
14,1439.7,1.19202,2.0135,0.0097,0.00152,0.91286,0.89429,0.95843,0.58556,1.21793,2.20425,0.01026,0.00064,0.0017426,0.0017426,0.0017426
15,1539.6,1.20503,2.04377,0.01014,0.00199,0.92303,0.87745,0.96172,0.61583,1.12506,2.15508,0.00984,0.00123,0.0017228,0.0017228,0.0017228
16,1636.85,1.29365,1.77941,0.01021,0.00193,0.86539,0.86585,0.95562,0.66789,1.04118,2.00884,0.00935,0.00088,0.001703,0.001703,0.001703
17,1735.4,1.34796,1.64338,0.01124,0.00102,0.86128,0.90244,0.94593,0.63414,1.15941,1.84823,0.01012,0.00046,0.0016832,0.0016832,0.0016832
18,1836.32,1.32745,1.54701,0.01084,0.00136,0.89271,0.91328,0.9536,0.64914,1.11809,1.6266,0.00977,0.00034,0.0016634,0.0016634,0.0016634
19,1933.6,1.27836,1.50468,0.01072,0.0013,0.86123,0.90824,0.96578,0.66409,1.07845,1.48268,0.00927,0.00051,0.0016436,0.0016436,0.0016436
20,2033.54,1.22787,1.37569,0.01016,0.00095,0.85008,0.96814,0.97019,0.64218,1.1038,1.39881,0.00982,0.0004,0.0016238,0.0016238,0.0016238
21,2122.87,1.17807,1.41329,0.01048,0.00062,0.89863,0.86487,0.96348,0.66188,1.03851,1.29031,0.00894,0.00024,0.001604,0.001604,0.001604
22,2217.54,1.27582,1.3678,0.00986,0.00094,0.86346,0.92549,0.96341,0.66916,1.03198,1.17187,0.00878,0.00082,0.0015842,0.0015842,0.0015842
23,2312.32,1.22659,1.42672,0.00929,0.00132,0.87126,0.91463,0.9627,0.65798,1.04534,1.17037,0.00885,0.00046,0.0015644,0.0015644,0.0015644
24,2401.27,1.17739,1.23327,0.00933,0.00154,0.88397,0.92913,0.97216,0.67752,1.09716,1.09116,0.00895,0.00041,0.0015446,0.0015446,0.0015446
25,2494.59,1.15587,1.19637,0.00964,0.00146,0.92291,0.93902,0.97955,0.69653,1.09535,1.06663,0.00896,0.00162,0.0015248,0.0015248,0.0015248
