epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.67472,0.99364,0.46623,0.00959,0.00016,0.96456,0.99585,0.99306,0.71856,1.02801,0.31218,0.00906,0.0001,0.00016,0.00016,0.00016
2,6.39218,0.96483,0.48373,0.00891,0.00031,0.97455,1,0.9933,0.69943,1.06017,0.30526,0.00916,0.00011,0.000338654,0.000338654,0.000338654
3,9.16526,0.97477,0.46181,0.00902,0.0003,0.97326,1,0.99329,0.70215,1.02783,0.30452,0.00905,0.00016,0.000515882,0.000515882,0.000515882
4,11.7931,0.91568,0.45776,0.00895,0.00019,0.97615,0.99845,0.99342,0.70603,1.03503,0.30195,0.00909,8e-05,0.000691684,0.000691684,0.000691684
5,14.3599,0.95172,0.46047,0.00896,0.00029,0.97618,0.99977,0.99317,0.71514,0.9965,0.2954,0.009,8e-05,0.000866061,0.000866061,0.000866061
6,17.0415,0.94406,0.4245,0.00901,0.00037,0.974,0.9878,0.99198,0.68343,1.04355,0.30656,0.00905,0.00012,0.00103901,0.00103901,0.00103901
7,19.721,0.96235,0.47969,0.00944,0.00025,0.97497,0.9878,0.99218,0.71133,1.02006,0.30154,0.00893,7e-05,0.00121054,0.00121054,0.00121054
8,24.2592,0.96811,0.44116,0.0101,0.00024,0.97601,1,0.99303,0.6967,1.04449,0.30299,0.00887,0.00018,0.00138064,0.00138064,0.00138064
1,5.61702,0.99364,0.46623,0.00959,0.00016,0.96456,0.99585,0.99306,0.71856,1.02801,0.31218,0.00906,0.0001,0.00016,0.00016,0.00016
9,28.6531,0.90791,0.41947,0.00966,0.00048,0.97613,0.99754,0.99269,0.64923,1.14117,0.32542,0.00908,0.00034,0.00154931,0.00154931,0.00154931
2,10.5318,0.96444,0.48423,0.00887,0.00031,0.97463,1,0.9933,0.6988,1.05996,0.30491,0.00916,0.00011,0.000337756,0.000337756,0.000337756
10,32.8877,0.97685,0.48784,0.00979,0.0006,0.96207,1,0.99279,0.63698,1.14015,0.33048,0.00901,0.00044,0.00171656,0.00171656,0.00171656
3,15.2794,0.9754,0.46209,0.00903,0.00031,0.97381,1,0.99329,0.70207,1.02795,0.30423,0.00905,0.00018,0.000513136,0.000513136,0.000513136
11,37.3867,0.94147,0.49386,0.00826,0.0006,0.97473,0.9878,0.99307,0.6952,1.03214,0.3003,0.00852,0.0006,0.00188238,0.00188238,0.00188238
4,19.8509,0.91502,0.45731,0.00895,0.0002,0.97614,0.99805,0.9933,0.70443,1.03558,0.30282,0.00909,8e-05,0.00068614,0.00068614,0.00068614
12,41.9239,0.93332,0.49212,0.00814,0.00065,0.98664,1,0.99416,0.71563,1.04234,0.2845,0.00863,0.00029,0.00191288,0.00191288,0.00191288
